tick,mother_id,child_id,r,benefit,cost,success
0,4,5,0.5,0.008,0.03,True
0,0,1,0.5,0.008,0.03,True
0,12,13,0.5,0.008,0.03,True
0,16,13,0.0,0.0,0.03,True
0,18,19,0.5,0.008,0.03,True
0,6,7,0.5,0.008,0.03,True
1,18,19,0.5,0.008,0.03,True
1,16,17,0.5,0.016,0.03,True
2,16,13,0.0,0.016,0.03,True
3,6,21,0.0,0.032,0.04,True
3,16,13,0.0,0.008,0.03,True
3,20,7,0.0,0.024,0.045,True
3,14,1,0.0,0.024,0.045,True
3,12,17,0.0,0.016,0.04,True
4,20,7,0.0,0.008,0.03,True
4,0,3,0.0,0.04,0.045,True
4,18,19,0.5,0.024,0.034999999999999996,True
5,12,13,0.5,0.016,0.034999999999999996,True
6,6,7,0.5,0.016,0.04,True
7,16,17,0.5,0.032,0.03,True
7,18,19,0.5,0.024,0.034999999999999996,True
7,10,11,0.5,0.064,0.065,True
8,20,21,0.5,0.04,0.045,True
9,16,13,0.0,0.032,0.034999999999999996,True
10,14,1,0.0,0.056,0.06,True
10,0,9,0.0,0.08800000000000002,0.055,True
11,8,3,0.0,0.056,0.08499999999999999,True
11,0,9,0.0,0.008,0.03,True
11,20,7,0.0,0.04,0.04,True
11,16,17,0.5,0.032,0.034999999999999996,True
11,14,1,0.0,0.008,0.03,True
12,10,5,0.0,0.09600000000000003,0.05,True
12,18,19,0.5,0.04,0.034999999999999996,True
12,0,9,0.0,0.008,0.03,True
12,12,17,0.0,0.008,0.04,True
12,6,7,0.5,0.008,0.055,True
12,14,1,0.0,0.008,0.03,True
13,16,13,0.0,0.032,0.034999999999999996,True
13,18,19,0.5,0.008,0.03,True
13,14,1,0.0,0.008,0.03,True
14,12,13,0.5,0.008,0.034999999999999996,True
14,20,21,0.5,0.048,0.04,True
14,14,1,0.0,0.008,0.03,True
15,14,1,0.0,0.008,0.03,True
16,4,11,0.0,0.07200000000000001,0.09,True
16,12,17,0.0,0.032,0.034999999999999996,True
16,14,1,0.0,0.008,0.03,True
17,14,1,0.0,0.008,0.03,True
17,0,23,0.0,0.14400000000000007,0.05,True
17,16,17,0.5,0.008,0.04,True
18,0,23,0.0,0.008,0.03,True
18,14,1,0.0,0.008,0.03,True
18,18,19,0.5,0.04,0.03,True
19,6,7,0.5,0.056,0.04,True
19,18,19,0.5,0.008,0.03,True
